"group","indiv","event","time","type"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",40.9778,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",41.3958,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",42.6678,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",44.9431,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",48.2118,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",51.8725,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",52.3332,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",52.5124999999999,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",55.7105,"Regular"
"4","900200000279820","ch1MPI2020-01-24_10-18-47_0000119.wav",56.8072,"Regular"
"4","900200000279820","ch1MPI2020-01-24_10-18-47_0000119.wav",57.0218999999999,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",57.4052,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",58.6019,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",64.4859,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",64.8166,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",69.8099,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",73.5933,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",73.8946,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",74.2286999999999,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",74.2366,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",75.7767,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",76.7127,"Regular"
"4","982000359237334","ch1MPI2020-01-24_10-18-47_0000119.wav",77.422,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",78.2727,"Regular"
"4","982126051278475","ch1MPI2020-01-24_10-18-47_0000119.wav",79.21,"Regular"
