Frame\Toma,T104_GJP255_2021,T105_GF21_2021,T106_GM20_2021,T107_GMP19_2021,T111_G6yOtro_2020,T148_GS9_2021,T156_G18AB_2020,T164_GGP9_2021,T181_G1,T182_G21,T182_GMP18_2021,T36_G1_2020,T40_GMP20_2021,T43_G3_2020,T50_G9_2020,T63_G22_2020,T66_G6_2020,T7_G4_2020,T71_GGP5_2021,T81_G15_2020
38,9700,22467,14430,9918,6900,11664,7803,8180,8130,8860,10710,6960,17804,8800,,8990,9505,12270,13438,9315
39,9805,23141,14521,10010,6980,11880,8135,8280,8230,8960,10900,7060,19116,9000,,9390,9776,12370,13642,9610
40,9893,24370,14630,10110,7200,11911,8228,8380,8330,9060,11000,7160,19197,9100,,9490,9844,12470,14372,9707
41,10009,24470,14730,10214,7300,12327,8335,8480,8430,9160,11100,7260,20116,9194,,9590,9908,12603,14481,10310
42,10097,24594,14830,10310,7395,13237,8474,8546,8530,9260,11200,7560,20168,9307,,9690,9981,12770,14557,10410
43,10196,24673,14930,10410,7500,13298,8535,8680,8637,9360,11287,7657,21310,9401,,9790,10048,12863,14673,10710
44,10298,25162,15030,10517,7600,13606,8635,8780,8730,9660,11400,7760,24010,9500,,10090,10089,13074,14767,11310
45,10394,25270,15130,10610,7700,14063,8735,8880,8830,9760,11500,7860,24089,9599,,10190,10821,13167,14872,11410
46,10600,25371,15230,10711,7800,14379,8800,8980,8930,9863,12400,7960,25842,9811,,10290,10884,13270,14954,11518
47,10700,25469,15330,10810,7904,14450,8935,9080,9030,9961,12485,8163,25912,9900,,10390,10939,13670,15079,12039
48,10808,26490,15401,10910,8000,14678,8997,9180,9230,10060,12600,8260,32212,10000,,10590,11091,13776,15195,13210
49,10898,26570,15530,11008,8100,14863,9535,9274,9331,10160,12800,8360,35052,10200,,10890,11239,13990,15268,13610
50,11000,26670,15730,11217,8192,14963,9635,9587,9430,10260,12900,8860,35193,10703,,11290,11306,14170,15364,13710
,,,,11324,,,,,,,,9160,,10793,,,,,15369,14212
,,,,11410,,,,,,,,,,,,,,,,14310
,,,,11510,,,,,,,,,,,,,,,,
