"selec","View","Channel","start","end","sound.files","Begin Path","File Offset (s)","bottom.freq","top.freq","score","class_fixed","class","org.sound.files","selec.file","detection"
45943,"Spectrogram 1",1,20.0187,20.0697,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",20.0187,13.3548,42.8226,0.4997715,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
45858,"Spectrogram 1",1,25.2768,25.3278,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",25.2768,13.3548,42.8226,0.6407341,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49085,"Spectrogram 1",1,25.2831,25.341277115,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",25.2831,15.370308,32.315766,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49086,"Spectrogram 1",1,26.0685,26.119404976,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",26.0685,16.123439,33.633746,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49087,"Spectrogram 1",1,27.6284,27.672032836,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",27.6284,19.135965,34.763444,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49089,"Spectrogram 1",1,31.8753,31.918932836,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",31.8753,16.688288,25.161017,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49090,"Spectrogram 1",1,32.3178,32.364079612,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",32.3178,16.876571,25.725866,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49088,"Spectrogram 1",1,32.3298,32.384341046,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",32.3298,16.500005,25.161017,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49091,"Spectrogram 1",1,32.8218,32.850081985,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",32.8218,17.253137,25.537583,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49092,"Spectrogram 1",1,38.2252,38.263766344,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",38.2252,16.123439,26.102432,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45859,"Spectrogram 1",1,44.3442,44.3952,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",44.3442,13.3548,42.8226,0.783105,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49094,"Spectrogram 1",1,46.3687,46.409837433,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",46.3687,16.123439,28.361826,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
45860,"Spectrogram 1",1,49.6195,49.6705,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",49.6195,13.3548,42.8226,0.6312126,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
45861,"Spectrogram 1",1,51.1922,51.2432,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",51.1922,13.3548,42.8226,0.5764126,"call","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","automatic"
49095,"Spectrogram 1",1,53.5078,53.548937433,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",53.5078,15.370308,26.66728,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49096,"Spectrogram 1",1,57.3567,57.400408522,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",57.3567,15.182025,27.420412,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
49097,"Spectrogram 1",1,60.2029,60.238895254,"ch1MPI2020-01-18_10-18-02_0000037.wav","/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav",60.2029,15.182025,27.98526,NA,"","call","ch1MPI2020-01-18_10-18-02_0000037.wav","raven_selection_table_calls.txt","manual"
