Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin.Path	File.Offset..s.	selec.file	event	detection	class_fixed	class	score	org.sound.files	check.res	duration	min.n.samples	sample.rate	channels	bits	sound.file.samples	Audio	year	year.audio	tipo.de.video	Experimento	Grupo	Individuo	date	old.selec
11	Spectrogram 1	1	25.585400000	25.636400000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	25.585400	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	25.5854	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.740881	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0510000000003998	4590	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12950
12	Spectrogram 1	1	26.392100000	26.443100000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	26.392100	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	26.3921	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.5284411	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	13003
13	Spectrogram 1	1	26.398800000	26.449800000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	26.398800	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	26.3988	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.4447151	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999998989	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	2516
14	Spectrogram 1	1	29.434100000	29.485100000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	29.434100	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	29.4341	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.524625	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999998989	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12881
15	Spectrogram 1	1	30.468100000	30.519100000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	30.468100	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	30.4681	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.6600947	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999998989	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12981
16	Spectrogram 1	1	31.890800000	31.941800000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	31.890800	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	31.8908	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.6107987	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12995
17	Spectrogram 1	1	31.895500000	31.946500000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	31.895500	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	31.8955	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.3865975	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	1986
18	Spectrogram 1	1	33.329500000	33.380500000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	33.329500	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	33.3295	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.7137381	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999998954	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12960
19	Spectrogram 1	1	33.784800000	33.835800000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	33.784800	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	33.7848	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.6736444	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12975
20	Spectrogram 1	1	34.304800000	34.355800000	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	34.304800	13354.80000	42822.60000	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	34.3048	raven_selection_table_calls.txt	MPI2020-01-18_10-28-46_0000038.wav	automatic	call	call	0.7037834	ch1MPI2020-01-18_10-28-46_0000038.wav	OK	0.0509999999999025	4589	90	1	16	11823022	38	2020	2020-38	experimento	vuelo grupal/sin sonido	3	982000359237615|982126051278504|982126051278529|982126051278564|982126052945896	2020-01-18	12964
