"video","n_indiv","dtw_dist","type"
"Grupo15Toma81.2",3,673.446863665097,"real"
"Grupo15Toma81.4",3,368.982331703477,"real"
"Grupo6yotroToma111.2",2,564.225874845649,"real"
"Grupo6yotroToma111.4",2,685.469597235606,"real"
"Toma7G4.2",4,1230.33041950921,"real"
"Toma7G4.4",4,1418.22351680505,"real"
"random_flight_2_bats_1",2,1142.20125667173,"simulated"
"random_flight_2_bats_2",2,1003.57141017462,"simulated"
"random_flight_2_bats_3",2,1102.08279739555,"simulated"
"random_flight_2_bats_4",2,12996.0181465215,"simulated"
"random_flight_2_bats_5",2,13057.4873856986,"simulated"
"random_flight_2_bats_6",2,13157.0149360068,"simulated"
"random_flight_2_bats_7",2,12752.0915593405,"simulated"
"random_flight_2_bats_8",2,3035.73511125611,"simulated"
"random_flight_2_bats_9",2,2739.81181358425,"simulated"
"random_flight_2_bats_10",2,2385.78705311597,"simulated"
"random_flight_2_bats_11",2,2237.85275138888,"simulated"
"random_flight_2_bats_12",2,4036.53982032398,"simulated"
"random_flight_2_bats_13",2,2763.75149198598,"simulated"
"random_flight_2_bats_14",2,3068.78119928886,"simulated"
"random_flight_2_bats_15",2,3201.09162723732,"simulated"
"random_flight_2_bats_16",2,1406.1991763815,"simulated"
"random_flight_2_bats_17",2,1166.09822846753,"simulated"
"random_flight_2_bats_18",2,1184.03245502931,"simulated"
"random_flight_2_bats_19",2,11939.6043409304,"simulated"
"random_flight_2_bats_20",2,12241.2107510208,"simulated"
"random_flight_2_bats_21",2,12387.7055416878,"simulated"
"random_flight_2_bats_22",2,11704.0939007697,"simulated"
"random_flight_2_bats_23",2,2573.39298799881,"simulated"
"random_flight_2_bats_24",2,2135.57091757302,"simulated"
"random_flight_2_bats_25",2,2032.58028098572,"simulated"
"random_flight_2_bats_26",2,1890.33649067249,"simulated"
"random_flight_2_bats_27",2,3675.23842272656,"simulated"
"random_flight_2_bats_28",2,2123.36808657746,"simulated"
"random_flight_2_bats_29",2,2703.11525473234,"simulated"
"random_flight_2_bats_30",2,2704.25362931915,"simulated"
"random_flight_2_bats_31",2,1289.46268610764,"simulated"
"random_flight_2_bats_32",2,1065.73444501105,"simulated"
"random_flight_2_bats_33",2,1216.25027434775,"simulated"
"random_flight_2_bats_34",2,12713.5050786791,"simulated"
"random_flight_2_bats_35",2,12821.0088355127,"simulated"
"random_flight_2_bats_36",2,12720.0344366969,"simulated"
"random_flight_2_bats_37",2,12396.475207715,"simulated"
"random_flight_2_bats_38",2,2532.28924663332,"simulated"
"random_flight_2_bats_39",2,2568.11926251208,"simulated"
"random_flight_2_bats_40",2,2350.76935333926,"simulated"
"random_flight_2_bats_41",2,2132.44110460882,"simulated"
"random_flight_2_bats_42",2,3879.11933979034,"simulated"
"random_flight_2_bats_43",2,2360.68561119928,"simulated"
"random_flight_2_bats_44",2,2848.51775605859,"simulated"
"random_flight_2_bats_45",2,2916.65593922492,"simulated"
"random_flight_2_bats_46",2,14433.5643369424,"simulated"
"random_flight_2_bats_47",2,14525.1430834576,"simulated"
"random_flight_2_bats_48",2,14173.6216690291,"simulated"
"random_flight_2_bats_49",2,14146.9337687042,"simulated"
"random_flight_2_bats_50",2,3525.40653281014,"simulated"
"random_flight_2_bats_51",2,3414.84068921842,"simulated"
"random_flight_2_bats_52",2,3385.42097988446,"simulated"
"random_flight_2_bats_53",2,2828.00885693535,"simulated"
"random_flight_2_bats_54",2,4932.17407633371,"simulated"
"random_flight_2_bats_55",2,3943.61156614275,"simulated"
"random_flight_2_bats_56",2,3833.59893133108,"simulated"
"random_flight_2_bats_57",2,4101.63745830847,"simulated"
"random_flight_2_bats_58",2,14068.1012439733,"simulated"
"random_flight_2_bats_59",2,14147.3386608415,"simulated"
"random_flight_2_bats_60",2,13898.5278264635,"simulated"
"random_flight_2_bats_61",2,13852.5852399899,"simulated"
"random_flight_2_bats_62",2,3340.31952583298,"simulated"
"random_flight_2_bats_63",2,3094.85848102769,"simulated"
"random_flight_2_bats_64",2,3110.53824492448,"simulated"
"random_flight_2_bats_65",2,2638.80874428649,"simulated"
"random_flight_2_bats_66",2,4556.31398752972,"simulated"
"random_flight_2_bats_67",2,3592.69425046657,"simulated"
"random_flight_2_bats_68",2,3504.33299617604,"simulated"
"random_flight_2_bats_69",2,3824.65468474886,"simulated"
"random_flight_2_bats_70",2,14011.2919054542,"simulated"
"random_flight_2_bats_71",2,14100.9980385034,"simulated"
"random_flight_2_bats_72",2,13828.4058102768,"simulated"
"random_flight_2_bats_73",2,13790.9826166615,"simulated"
"random_flight_2_bats_74",2,3206.48026185295,"simulated"
"random_flight_2_bats_75",2,3047.96124976079,"simulated"
"random_flight_2_bats_76",2,3096.48732196903,"simulated"
"random_flight_2_bats_77",2,2482.45481290917,"simulated"
"random_flight_2_bats_78",2,4513.13597658956,"simulated"
"random_flight_2_bats_79",2,3557.64559080936,"simulated"
"random_flight_2_bats_80",2,3438.36337029381,"simulated"
"random_flight_2_bats_81",2,3790.22170884057,"simulated"
"random_flight_2_bats_82",2,703.694098815326,"simulated"
"random_flight_2_bats_83",2,464.372904412787,"simulated"
"random_flight_2_bats_84",2,9544.85498826525,"simulated"
"random_flight_2_bats_85",2,9388.73898239284,"simulated"
"random_flight_2_bats_86",2,10712.6686473098,"simulated"
"random_flight_2_bats_87",2,10764.2556592939,"simulated"
"random_flight_2_bats_88",2,7997.68708872899,"simulated"
"random_flight_2_bats_89",2,10368.7432025266,"simulated"
"random_flight_2_bats_90",2,9310.33301581181,"simulated"
"random_flight_2_bats_91",2,10397.5999352411,"simulated"
"random_flight_2_bats_92",2,1063.18158756129,"simulated"
"random_flight_2_bats_93",2,843.407069508997,"simulated"
"random_flight_2_bats_94",2,9599.6479902147,"simulated"
"random_flight_2_bats_95",2,9505.04142595862,"simulated"
"random_flight_2_bats_96",2,10686.5144575794,"simulated"
"random_flight_2_bats_97",2,11012.1944122892,"simulated"
"random_flight_2_bats_98",2,7796.240695623,"simulated"
"random_flight_2_bats_99",2,10504.7638431096,"simulated"
"random_flight_2_bats_100",2,9220.22691827308,"simulated"
"random_flight_2_bats_101",2,10651.5817449162,"simulated"
"random_flight_2_bats_102",2,9752.7391016786,"simulated"
"random_flight_2_bats_103",2,9781.14378411496,"simulated"
"random_flight_2_bats_104",2,11101.4898789508,"simulated"
"random_flight_2_bats_105",2,11116.4472388778,"simulated"
"random_flight_2_bats_106",2,7626.28093638914,"simulated"
"random_flight_2_bats_107",2,10274.5075458865,"simulated"
"random_flight_2_bats_108",2,8926.75099918827,"simulated"
"random_flight_2_bats_109",2,9942.75092583767,"simulated"
"random_flight_2_bats_110",2,9647.2887500675,"simulated"
"random_flight_2_bats_111",2,9464.583280874,"simulated"
"random_flight_2_bats_112",2,10455.3664478394,"simulated"
"random_flight_2_bats_113",2,10674.5462841622,"simulated"
"random_flight_2_bats_114",2,7636.44809376184,"simulated"
"random_flight_2_bats_115",2,10223.3371890204,"simulated"
"random_flight_2_bats_116",2,9082.60386662888,"simulated"
"random_flight_2_bats_117",2,10202.7964403477,"simulated"
"random_flight_2_bats_118",2,2480.68564036571,"simulated"
"random_flight_2_bats_119",2,2516.06634624541,"simulated"
"random_flight_2_bats_120",2,2487.34231512169,"simulated"
"random_flight_2_bats_121",2,2727.68112092763,"simulated"
"random_flight_2_bats_122",2,2587.64209805987,"simulated"
"random_flight_2_bats_123",2,2168.7851111163,"simulated"
"random_flight_2_bats_124",2,2423.18239287006,"simulated"
"random_flight_2_bats_125",2,2712.25818704194,"simulated"
"random_flight_2_bats_126",2,3215.39542368416,"simulated"
"random_flight_2_bats_127",2,2126.59307200422,"simulated"
"random_flight_2_bats_128",2,2699.46434471231,"simulated"
"random_flight_2_bats_129",2,2546.02501390524,"simulated"
"random_flight_2_bats_130",2,2550.30062425619,"simulated"
"random_flight_2_bats_131",2,1856.05862406887,"simulated"
"random_flight_2_bats_132",2,2286.56104509405,"simulated"
"random_flight_2_bats_133",2,2237.27709768586,"simulated"
"random_flight_3_bats_134",3,9523.92791337856,"simulated"
"random_flight_3_bats_135",3,9574.9439086093,"simulated"
"random_flight_3_bats_136",3,9490.94595390255,"simulated"
"random_flight_3_bats_137",3,9347.07552823879,"simulated"
"random_flight_3_bats_138",3,2567.78096691266,"simulated"
"random_flight_3_bats_139",3,2432.28458649147,"simulated"
"random_flight_3_bats_140",3,2304.46976322405,"simulated"
"random_flight_3_bats_141",3,2069.35428833199,"simulated"
"random_flight_3_bats_142",3,3370.3050511098,"simulated"
"random_flight_3_bats_143",3,2616.52143826682,"simulated"
"random_flight_3_bats_144",3,2681.52712909722,"simulated"
"random_flight_3_bats_145",3,2814.97678073917,"simulated"
"random_flight_3_bats_146",3,9355.8969335565,"simulated"
