Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Rraven.labels
58	Spectrogram 1	1	0.000000000	0.000000000	ch1MPI2020-01-17_10-17-16_0000036.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_10-17-16_0000036.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-17_10-17-16_0000036.wav
86	Spectrogram 1	1	153.354244444	153.354244444	ch1MPI2020-01-20_10-13-09_0000066.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-20_10-13-09_0000066.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-20_10-13-09_0000066.wav
88	Spectrogram 1	1	294.322177778	294.322177778	ch1MPI2020-01-20_10-23-37_0000068.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-20_10-23-37_0000068.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-20_10-23-37_0000068.wav
106	Spectrogram 1	1	420.642822222	420.642822222	ch1MPI2020-01-22_11-38-08_0000088.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-22_11-38-08_0000088.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-22_11-38-08_0000088.wav
108	Spectrogram 1	1	552.763400000	552.763400000	ch1MPI2020-01-22_11-51-45_0000090.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-22_11-51-45_0000090.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-22_11-51-45_0000090.wav
144	Spectrogram 1	1	679.936011111	679.936011111	ch1MPI2020-01-24_11-50-05_0000127.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-24_11-50-05_0000127.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-24_11-50-05_0000127.wav
150	Spectrogram 1	1	812.023822222	812.023822222	ch1MPI2020-01-24_12-25-00_0000133.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-24_12-25-00_0000133.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-24_12-25-00_0000133.wav
157	Spectrogram 1	1	939.163666667	939.163666667	ch1MPI2020-01-24_16-09-19_0000141.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-24_16-09-19_0000141.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-24_16-09-19_0000141.wav
159	Spectrogram 1	1	1074.561044444	1074.561044444	ch1MPI2020-01-24_16-24-45_0000143.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-24_16-24-45_0000143.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-24_16-24-45_0000143.wav
172	Spectrogram 1	1	1218.674711111	1218.674711111	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-25_12-18-59_0000157.wav
174	Spectrogram 1	1	1344.110611111	1344.110611111	ch1MPI2020-01-25_12-31-40_0000159.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-31-40_0000159.wav	0.000000	1000.00000	1000.00000	ch1MPI2020-01-25_12-31-40_0000159.wav
260	Spectrogram 1	1	1474.166800000	1474.166800000	ch1MPI2021-01-11_11-01-20_0000070.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2021-01-11_11-01-20_0000070.wav	0.000000	1000.00000	1000.00000	ch1MPI2021-01-11_11-01-20_0000070.wav
270	Spectrogram 1	1	1611.956244444	1611.956244444	ch1MPI2021-01-13_09-06-16_0000080.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2021-01-13_09-06-16_0000080.wav	0.000000	1000.00000	1000.00000	ch1MPI2021-01-13_09-06-16_0000080.wav
272	Spectrogram 1	1	1746.031977778	1746.031977778	ch1MPI2021-01-13_09-18-21_0000082.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2021-01-13_09-18-21_0000082.wav	0.000000	1000.00000	1000.00000	ch1MPI2021-01-13_09-18-21_0000082.wav
342	Spectrogram 1	1	1878.633155556	1878.633155556	ch1MPI2021-01-18_16-11-26_0000153.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2021-01-18_16-11-26_0000153.wav	0.000000	1000.00000	1000.00000	ch1MPI2021-01-18_16-11-26_0000153.wav
343	Spectrogram 1	1	1263.921383000	1263.970922735	ch1MPI2020-01-25_12-18-59_0000157.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-25_12-18-59_0000157.wav	45.246667	11458.15615	36684.66834	
