"sound.files","selec","start","end","score","class","event","audio","video","video_folder","org.sound.files","ovlp.sels","class_fixed"
"ch1MPI2020-01-17_09-36-16_0000030.wav",1,37.93146,37.98246,0.688559,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",1,"call"
"ch4MPI2020-01-17_09-36-16_0000030.wav",15,93.88298,93.93398,0.5836991,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch4MPI2020-01-17_09-36-16_0000030.wav",2,"call"
"ch3MPI2020-01-17_09-36-16_0000030.wav",43,102.8197,102.8707,0.7824305,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",3,"call"
"ch3MPI2020-01-17_09-36-16_0000030.wav",44,114.849,114.9,0.4677928,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",4,"call"
"ch3MPI2020-01-17_09-36-16_0000030.wav",45,115.8757,115.9267,0.7424796,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",5,"call"
"ch3MPI2020-01-17_09-36-16_0000030.wav",46,120.1497,120.2007,0.5695345,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch3MPI2020-01-17_09-36-16_0000030.wav",6,"call"
"ch1MPI2020-01-17_09-36-16_0000030.wav",7,123.2471,123.2981,0.5368894,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",7,"call"
"ch4MPI2020-01-17_09-36-16_0000030.wav",21,123.6397,123.6907,0.6555496,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch4MPI2020-01-17_09-36-16_0000030.wav",8,"call"
"ch4MPI2020-01-17_09-36-16_0000030.wav",22,126.4404,126.4914,0.6929964,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch4MPI2020-01-17_09-36-16_0000030.wav",9,"call"
"ch1MPI2020-01-17_09-36-16_0000030.wav",10,127.6491,127.7001,0.6935002,"call","MPI2020-01-17_09-36-16_0000030.wav",30,36,"T36_G1_2020","ch1MPI2020-01-17_09-36-16_0000030.wav",10,"call"
