Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	old.selec
1.70456356536887	1.74103858816612	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	1.70456356536887	1	Spectrogram 1	1	270-1
33.3782833615577	33.4179458863472	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	33.3782833615577	2	Spectrogram 1	1	271-1
33.4800584251682	33.5044084403872	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	33.4800584251682	3	Spectrogram 1	1	271-2
33.5092459434106	33.5432834646844	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	33.5092459434106	4	Spectrogram 1	1	271-3
35.4584221616648	35.4873471797432	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	35.4584221616648	5	Spectrogram 1	1	271-4
41.3343008339511	41.3699008562014	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	41.3343008339511	6	Spectrogram 1	1	272-1
43.0188143867885	43.0493144058513	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	43.0188143867885	7	Spectrogram 1	1	272-2
51.0886944305423	51.1153444471988	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	51.0886944305423	8	Spectrogram 1	1	272-3
51.1289194556833	51.1827694893401	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	51.1289194556833	9	Spectrogram 1	1	272-4
58.6835616774085	58.7103116941275	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	58.6835616774085	10	Spectrogram 1	1	272-5
58.710611694315	58.7667992294328	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	58.710611694315	11	Spectrogram 1	1	272-6
62.5431765895102	62.5666016041511	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	62.5431765895102	12	Spectrogram 1	1	273-1
62.5669766043854	62.5915266197294	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	62.5669766043854	13	Spectrogram 1	1	273-2
62.643589152269	62.6739641712537	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	62.643589152269	14	Spectrogram 1	1	273-3
62.7606142254108	62.7847767405127	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	62.7606142254108	15	Spectrogram 1	1	273-4
62.8339642712553	62.8549517843727	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	62.8339642712553	16	Spectrogram 1	1	273-5
62.9667393542411	62.9992643745695	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	62.9667393542411	17	Spectrogram 1	1	273-6
63.6932273083031	63.7310148319207	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	63.6932273083031	18	Spectrogram 1	1	273-7
63.7412898383427	63.769089855718	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	63.7412898383427	19	Spectrogram 1	1	273-8
63.934064958829	63.9618774762121	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	63.934064958829	20	Spectrogram 1	1	273-9
64.0551900345334	64.0803275502446	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.0551900345334	21	Spectrogram 1	1	273-10
64.1072400670651	64.1285150803622	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.1072400670651	22	Spectrogram 1	1	273-11
64.4378527737013	64.4581277863734	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.4378527737013	23	Spectrogram 1	1	273-12
64.5593403496322	64.5818528637028	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.5593403496322	24	Spectrogram 1	1	273-13
64.5906278691872	64.6343778965314	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.5906278691872	25	Spectrogram 1	1	273-14
64.685577928532	64.7103654440244	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.685577928532	26	Spectrogram 1	1	273-15
64.8164155103067	64.8366030229241	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.8164155103067	27	Spectrogram 1	1	273-16
64.9529030956128	65.0017281261289	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	64.9529030956128	28	Spectrogram 1	1	273-17
65.0020656263399	65.0223031389885	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	65.0020656263399	29	Spectrogram 1	1	273-18
65.2452782783501	65.3028533143351	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	65.2452782783501	30	Spectrogram 1	1	273-19
65.3853783659141	65.4174283859456	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	65.3853783659141	31	Spectrogram 1	1	273-20
66.1595913498047	66.1944163715707	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	66.1595913498047	32	Spectrogram 1	1	273-21
66.2059288787662	66.2547164092588	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	66.2059288787662	33	Spectrogram 1	1	273-22
