"video","n_indiv","dtw_dist","type"
"Grupo15Toma81.2",3,1058.47228128521,"real"
"Grupo15Toma81.4",3,880.707027261549,"real"
"Grupo6yotroToma111.2",2,870.125664537039,"real"
"Grupo6yotroToma111.4",2,1826.90577294199,"real"
"Toma7G4.2",4,1996.26332573732,"real"
"Toma7G4.4",4,1910.41051772168,"real"
"random_flight_2_bats_1",2,1939.10802770041,"simulated"
"random_flight_2_bats_2",2,1800.35465516375,"simulated"
"random_flight_2_bats_3",2,2002.23762758448,"simulated"
"random_flight_2_bats_4",2,2290.78934854696,"simulated"
"random_flight_2_bats_5",2,2049.16604688811,"simulated"
"random_flight_2_bats_6",2,2233.99842908286,"simulated"
"random_flight_2_bats_7",2,2294.59619698275,"simulated"
"random_flight_2_bats_8",2,2366.43055070189,"simulated"
"random_flight_2_bats_9",2,2346.07339503187,"simulated"
"random_flight_2_bats_10",2,2418.56309144454,"simulated"
"random_flight_2_bats_11",2,2093.90280049385,"simulated"
"random_flight_2_bats_12",2,2479.74787692484,"simulated"
"random_flight_2_bats_13",2,2042.47573355954,"simulated"
"random_flight_2_bats_14",2,1911.91492509038,"simulated"
"random_flight_2_bats_15",2,1817.33924984114,"simulated"
"random_flight_2_bats_16",2,2271.00260712619,"simulated"
"random_flight_2_bats_17",2,2014.52424030567,"simulated"
"random_flight_2_bats_18",2,2272.17896374924,"simulated"
"random_flight_2_bats_19",2,2027.06167182251,"simulated"
"random_flight_2_bats_20",2,1957.2499296048,"simulated"
"random_flight_2_bats_21",2,2302.98495141361,"simulated"
"random_flight_2_bats_22",2,2186.89969055412,"simulated"
"random_flight_2_bats_23",2,2094.38007909054,"simulated"
"random_flight_2_bats_24",2,2278.58034467168,"simulated"
"random_flight_2_bats_25",2,2121.37805489946,"simulated"
"random_flight_2_bats_26",2,2238.21467432274,"simulated"
"random_flight_2_bats_27",2,2639.98797654762,"simulated"
"random_flight_2_bats_28",2,1696.06155831325,"simulated"
"random_flight_2_bats_29",2,2420.13316921173,"simulated"
"random_flight_2_bats_30",2,1940.45624372455,"simulated"
"random_flight_2_bats_31",2,1992.81514497416,"simulated"
"random_flight_2_bats_32",2,2063.84702553843,"simulated"
"random_flight_2_bats_33",2,2335.86451663643,"simulated"
"random_flight_2_bats_34",2,2164.98733163756,"simulated"
"random_flight_2_bats_35",2,1979.49610132243,"simulated"
"random_flight_2_bats_36",2,2228.5402312519,"simulated"
"random_flight_2_bats_37",2,2282.91672628328,"simulated"
"random_flight_2_bats_38",2,2333.77065139609,"simulated"
"random_flight_2_bats_39",2,2351.78289124679,"simulated"
"random_flight_2_bats_40",2,2368.42171428267,"simulated"
"random_flight_2_bats_41",2,2310.46165747112,"simulated"
"random_flight_2_bats_42",2,2843.36348678628,"simulated"
"random_flight_2_bats_43",2,1419.79399221569,"simulated"
"random_flight_2_bats_44",2,2231.93898982564,"simulated"
"random_flight_2_bats_45",2,1614.47583023065,"simulated"
"random_flight_2_bats_46",2,1838.18142295277,"simulated"
"random_flight_2_bats_47",2,1677.94227172581,"simulated"
"random_flight_2_bats_48",2,2134.38601536397,"simulated"
"random_flight_2_bats_49",2,2279.70087670789,"simulated"
"random_flight_2_bats_50",2,2365.78293942957,"simulated"
"random_flight_2_bats_51",2,2173.91934236391,"simulated"
"random_flight_2_bats_52",2,2341.97449425177,"simulated"
"random_flight_2_bats_53",2,2277.19552998141,"simulated"
"random_flight_2_bats_54",2,2573.12877093309,"simulated"
"random_flight_2_bats_55",2,2028.59396345282,"simulated"
"random_flight_2_bats_56",2,1909.24772048057,"simulated"
"random_flight_2_bats_57",2,1612.81375985987,"simulated"
"random_flight_2_bats_58",2,2024.53515300767,"simulated"
"random_flight_2_bats_59",2,1588.92363776004,"simulated"
"random_flight_2_bats_60",2,2348.40330013635,"simulated"
"random_flight_2_bats_61",2,2658.91191727091,"simulated"
"random_flight_2_bats_62",2,2560.97745799126,"simulated"
"random_flight_2_bats_63",2,2087.97718450261,"simulated"
"random_flight_2_bats_64",2,2394.89773984892,"simulated"
"random_flight_2_bats_65",2,2087.41013629161,"simulated"
"random_flight_2_bats_66",2,2290.26779991997,"simulated"
"random_flight_2_bats_67",2,1927.21628247295,"simulated"
"random_flight_2_bats_68",2,1765.82506990319,"simulated"
"random_flight_2_bats_69",2,1302.94360508665,"simulated"
"random_flight_2_bats_70",2,2124.76026984256,"simulated"
"random_flight_2_bats_71",2,1961.73914269392,"simulated"
"random_flight_2_bats_72",2,2201.72459202087,"simulated"
"random_flight_2_bats_73",2,2378.54241580148,"simulated"
"random_flight_2_bats_74",2,2440.76071216453,"simulated"
"random_flight_2_bats_75",2,2173.40966355135,"simulated"
"random_flight_2_bats_76",2,2330.17681810539,"simulated"
"random_flight_2_bats_77",2,1916.80186559103,"simulated"
"random_flight_2_bats_78",2,2460.82131963738,"simulated"
"random_flight_2_bats_79",2,2075.42804147942,"simulated"
"random_flight_2_bats_80",2,1823.70966531051,"simulated"
"random_flight_2_bats_81",2,1630.47464394197,"simulated"
"random_flight_2_bats_82",2,1834.6095201981,"simulated"
"random_flight_2_bats_83",2,1289.22408354086,"simulated"
"random_flight_2_bats_84",2,1679.27634634211,"simulated"
"random_flight_2_bats_85",2,1919.52240334067,"simulated"
"random_flight_2_bats_86",2,2162.38747623548,"simulated"
"random_flight_2_bats_87",2,2468.61841999704,"simulated"
"random_flight_2_bats_88",2,2440.95493140139,"simulated"
"random_flight_2_bats_89",2,1995.98538651784,"simulated"
"random_flight_2_bats_90",2,2238.40106189497,"simulated"
"random_flight_2_bats_91",2,2058.02977598226,"simulated"
"random_flight_2_bats_92",2,1643.94553798312,"simulated"
"random_flight_2_bats_93",2,1788.73662960561,"simulated"
