Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	score	class	event	audio	video	video_folder	org.sound.files	ovlp.sels	class_fixed	old.selec
9	Spectrogram 1	1	126.440400000	126.491400000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	126.440400	0.6929964	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch4MPI2020-01-17_09-36-16_0000030.wav	9	call	22
10	Spectrogram 1	1	127.649100000	127.700100000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	127.649100	0.6935002	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch1MPI2020-01-17_09-36-16_0000030.wav	10	call	10
11	Spectrogram 1	1	128.029100000	128.080100000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	128.029100	0.5584177	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch1MPI2020-01-17_09-36-16_0000030.wav	11	call	11
12	Spectrogram 1	1	129.320400000	129.371400000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	129.320400	0.7102627	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch1MPI2020-01-17_09-36-16_0000030.wav	12	call	12
13	Spectrogram 1	1	129.613800000	129.664800000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	129.613800	0.6964291	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch1MPI2020-01-17_09-36-16_0000030.wav	13	call	13
463	Spectrogram 1	1	141.091011333	141.091011333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	1.138878									clap	
15	Spectrogram 1	1	154.756866333	154.807866333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	14.804733	0.6990615	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	1	call	1
16	Spectrogram 1	1	155.529533333	155.580533333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	15.577400	0.6494465	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	2	call	2
17	Spectrogram 1	1	156.108877333	156.159877333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	16.156744	0.6621413	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	3	call	391
18	Spectrogram 1	1	157.116211333	157.167211333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	17.164078	0.8378354	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	4	call	4
19	Spectrogram 1	1	158.571555333	158.622555333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	18.619422	0.7713811	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	5	call	5
20	Spectrogram 1	1	160.366222333	160.417222333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	20.414089	0.8104531	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	6	call	6
21	Spectrogram 1	1	160.778222333	160.829222333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	20.826089	0.5840701	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	7	call	7
22	Spectrogram 1	1	163.696900333	163.747900333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	23.744767	0.8357799	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	8	call	8
23	Spectrogram 1	1	164.874244333	164.925244333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	24.922111	0.8675559	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch2MPI2020-01-18_10-28-46_0000038.wav	9	call	138
24	Spectrogram 1	1	165.095577333	165.146577333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	25.143444	0.7147389	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	10	call	10
25	Spectrogram 1	1	165.537589333	165.588589333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	25.585456	0.740881	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	11	call	399
26	Spectrogram 1	1	166.344255333	166.395255333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	26.392122	0.5284411	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch2MPI2020-01-18_10-28-46_0000038.wav	12	call	141
27	Spectrogram 1	1	169.386266333	169.437266333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	29.434133	0.524625	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	13	call	400
28	Spectrogram 1	1	170.420266333	170.471266333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	30.468133	0.6600947	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	14	call	15
29	Spectrogram 1	1	171.842944333	171.893944333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	31.890811	0.6107987	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	15	call	16
30	Spectrogram 1	1	173.281611333	173.332611333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	33.329478	0.7137381	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	16	call	17
31	Spectrogram 1	1	173.736955333	173.787955333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	33.784822	0.6736444	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	17	call	18
32	Spectrogram 1	1	174.256955333	174.307955333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	34.304822	0.7037834	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch3MPI2020-01-18_10-28-46_0000038.wav	18	call	277
33	Spectrogram 1	1	176.878966333	176.929966333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	36.926833	0.6604302	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	19	call	20
34	Spectrogram 1	1	178.804977333	178.855977333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	38.852844	0.673596	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch3MPI2020-01-18_10-28-46_0000038.wav	20	call	279
35	Spectrogram 1	1	179.191644333	179.242644333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	39.239511	0.7258626	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	21	call	22
36	Spectrogram 1	1	180.751644333	180.802644333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	40.799511	0.7352587	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	22	call	23
37	Spectrogram 1	1	181.401655333	181.452655333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.449522	0.6588189	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	23	call	410
38	Spectrogram 1	1	181.596989333	181.647989333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.644856	0.7619355	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	24	call	411
39	Spectrogram 1	1	181.656311333	181.707311333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	41.704178	0.8521568	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	25	call	26
40	Spectrogram 1	1	183.410989333	183.461989333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	43.458856	0.8465481	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	26	call	413
41	Spectrogram 1	1	185.032333333	185.083333333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	45.080200	0.6256167	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	27	call	414
42	Spectrogram 1	1	185.833000333	185.884000333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	45.880867	0.6823746	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	28	call	415
43	Spectrogram 1	1	186.873677333	186.924677333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	46.921544	0.5436486	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	29	call	416
44	Spectrogram 1	1	187.424344333	187.475344333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	47.472211	0.7361316	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch2MPI2020-01-18_10-28-46_0000038.wav	30	call	159
45	Spectrogram 1	1	188.556344333	188.607344333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	48.604211	0.7843092	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	31	call	418
46	Spectrogram 1	1	190.727689333	190.778689333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	50.775556	0.7772078	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	32	call	33
47	Spectrogram 1	1	191.001689333	191.052689333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	51.049556	0.8257199	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	33	call	34
48	Spectrogram 1	1	191.503689333	191.554689333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	51.551556	0.7869066	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch2MPI2020-01-18_10-28-46_0000038.wav	34	call	163
49	Spectrogram 1	1	192.609033333	192.660033333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	52.656900	0.7939521	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	35	call	36
50	Spectrogram 1	1	193.951700333	194.002700333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	53.999567	0.7037403	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch3MPI2020-01-18_10-28-46_0000038.wav	36	call	294
51	Spectrogram 1	1	195.089044333	195.140044333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	55.136911	0.6259215	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	37	call	425
52	Spectrogram 1	1	196.045044333	196.096044333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	56.092911	0.7590695	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	38	call	40
53	Spectrogram 1	1	196.555711333	196.606711333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	56.603578	0.7567514	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	39	call	41
54	Spectrogram 1	1	197.345722333	197.396722333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	57.393589	0.6608131	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	40	call	428
55	Spectrogram 1	1	198.967066333	199.018066333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	59.014933	0.6998439	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	41	call	43
56	Spectrogram 1	1	199.570389333	199.621389333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	59.618256	0.8409337	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch2MPI2020-01-18_10-28-46_0000038.wav	42	call	171
57	Spectrogram 1	1	200.199066333	200.250066333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	60.246933	0.6729007	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	43	call	432
58	Spectrogram 1	1	201.815744333	201.866744333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	61.863611	0.7847577	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	44	call	46
59	Spectrogram 1	1	202.775077333	202.826077333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	62.822944	0.6652485	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch2MPI2020-01-18_10-28-46_0000038.wav	45	call	175
60	Spectrogram 1	1	202.929744333	202.980744333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	62.977611	0.7110475	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	46	call	436
61	Spectrogram 1	1	203.908411333	203.959411333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	63.956278	0.6535135	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	47	call	437
62	Spectrogram 1	1	203.965089333	204.016089333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	64.012956	0.5879649	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch4MPI2020-01-18_10-28-46_0000038.wav	48	call	438
63	Spectrogram 1	1	205.095089333	205.146089333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	65.142956	0.7005615	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	49	call	52
64	Spectrogram 1	1	205.178422333	205.229422333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	65.226289	0.6445527	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch2MPI2020-01-18_10-28-46_0000038.wav	50	call	180
65	Spectrogram 1	1	206.552422333	206.603422333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	66.600289	0.7393065	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	51	call	54
66	Spectrogram 1	1	208.968433333	209.019433333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	69.016300	0.7088072	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	52	call	55
67	Spectrogram 1	1	209.285100333	209.336100333	ch1MPI2020-01-18_10-28-46_0000038.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-28-46_0000038.wav	69.332967	0.7651345	call	MPI2020-01-18_10-28-46_0000038.wav	38	43	T43_G3_2020	ch1MPI2020-01-18_10-28-46_0000038.wav	53	call	56
