Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	score	class	event	audio	video	video_folder	org.sound.files	ovlp.sels	class_fixed	old.selec
462	Spectrogram 1	1	1.600756000	1.600756000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	1.600756									clap	
14	Spectrogram 1	1	22.412067000	22.463067000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	22.412067	0.3966121	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch2MPI2020-01-17_09-36-16_0000030.wav	NA	call	27
1	Spectrogram 1	1	37.931456000	37.982456000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	37.931456	0.688559	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch1MPI2020-01-17_09-36-16_0000030.wav	1	call	1
2	Spectrogram 1	1	93.882978000	93.933978000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	93.882978	0.5836991	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch4MPI2020-01-17_09-36-16_0000030.wav	2	call	15
3	Spectrogram 1	1	102.819700000	102.870700000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	102.819700	0.7824305	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch3MPI2020-01-17_09-36-16_0000030.wav	3	call	43
4	Spectrogram 1	1	114.849000000	114.900000000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	114.849000	0.4677928	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch3MPI2020-01-17_09-36-16_0000030.wav	4	call	44
5	Spectrogram 1	1	115.875700000	115.926700000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	115.875700	0.7424796	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch3MPI2020-01-17_09-36-16_0000030.wav	5	call	45
6	Spectrogram 1	1	120.149700000	120.200700000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	120.149700	0.5695345	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch3MPI2020-01-17_09-36-16_0000030.wav	6	call	46
7	Spectrogram 1	1	123.247100000	123.298100000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	123.247100	0.5368894	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch1MPI2020-01-17_09-36-16_0000030.wav	7	call	7
8	Spectrogram 1	1	123.639700000	123.690700000	ch1MPI2020-01-17_09-36-16_0000030.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-17_09-36-16_0000030.wav	123.639700	0.6555496	call	MPI2020-01-17_09-36-16_0000030.wav	30	36	T36_G1_2020	ch4MPI2020-01-17_09-36-16_0000030.wav	8	call	21
