"Día","Hora","Audio","Video","tipo de video","Grupo","Individuo","Experimento","Color","Tiempo de vuelo","Anotaciones","Video camara 1","Video camara 3","Video camara 5","Video camara respaldo","year","year.audio"
2020-01-18,0.458333333333333,"42","47","experimento","9","900200000279415","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp47_cam1_2020-1-18","UCR-MPI_exp47_cam3_2020-1-18","UCR-MPI_exp47_cam5_2020-1-18",NA,"2020","2020-42"
2020-01-18,0.445138888888889,"39","44","experimento","9","900200000279519","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp44_cam1_2020-1-18","UCR-MPI_exp44_cam3_2020-1-18","UCR-MPI_exp44_cam5_2020-1-18",NA,"2020","2020-39"
2020-01-18,0.454166666666667,"41","46","experimento","9","982126051278549","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp46_cam1_2020-1-18","UCR-MPI_exp46_cam3_2020-1-18","UCR-MPI_exp46_cam5_2020-1-18",NA,"2020","2020-41"
2020-01-18,0.450694444444444,"40","45","experimento","9","982126058484290","vuelo solo","no aplica","0.0833333333333333","video de 5 min in cam1 porque olvidamos de apagar camara","UCR-MPI_exp45_cam1_2020-1-18","UCR-MPI_exp45_cam3_2020-1-18","UCR-MPI_exp45_cam5_2020-1-18",NA,"2020","2020-40"
2020-01-19,0.127777777777778,"57","64","experimento","22","982126051278501","vuelo grupal/enmascarando busqueda","verde","0.0833333333333333",NA,"UCR-MPI_exp64_cam1_2020-1-19","UCR-MPI_exp64_cam3_2020-1-19","UCR-MPI_exp64_cam5_2020-1-19",NA,"2020","2020-57"
2020-01-19,0.127777777777778,"57","64","experimento","22","982126052945887","vuelo grupal/enmascarando busqueda","anaranjado","0.0833333333333333",NA,"UCR-MPI_exp64_cam1_2020-1-19","UCR-MPI_exp64_cam3_2020-1-19","UCR-MPI_exp64_cam5_2020-1-19",NA,"2020","2020-57"
2020-01-19,0.127777777777778,"57","64","experimento","22","982126052945893","vuelo grupal/enmascarando busqueda","amarillo","0.0833333333333333",NA,"UCR-MPI_exp64_cam1_2020-1-19","UCR-MPI_exp64_cam3_2020-1-19","UCR-MPI_exp64_cam5_2020-1-19",NA,"2020","2020-57"
2020-01-19,0.127777777777778,"57","64","experimento","22","982126058484282","vuelo grupal/enmascarando busqueda","rosado","0.0833333333333333",NA,"UCR-MPI_exp64_cam1_2020-1-19","UCR-MPI_exp64_cam3_2020-1-19","UCR-MPI_exp64_cam5_2020-1-19",NA,"2020","2020-57"
2020-01-19,0.119444444444444,"56","63","experimento","22","982126051278501","vuelo grupal/sin sonido","verde","0.0833333333333333",NA,"UCR-MPI_exp63_cam1_2020-1-19","UCR-MPI_exp63_cam3_2020-1-19","UCR-MPI_exp63_cam5_2020-1-19",NA,"2020","2020-56"
2020-01-19,0.119444444444444,"56","63","experimento","22","982126052945887","vuelo grupal/sin sonido","anaranjado","0.0833333333333333",NA,"UCR-MPI_exp63_cam1_2020-1-19","UCR-MPI_exp63_cam3_2020-1-19","UCR-MPI_exp63_cam5_2020-1-19",NA,"2020","2020-56"
2020-01-19,0.119444444444444,"56","63","experimento","22","982126052945893","vuelo grupal/sin sonido","amarillo","0.0833333333333333",NA,"UCR-MPI_exp63_cam1_2020-1-19","UCR-MPI_exp63_cam3_2020-1-19","UCR-MPI_exp63_cam5_2020-1-19",NA,"2020","2020-56"
2020-01-19,0.119444444444444,"56","63","experimento","22","982126058484282","vuelo grupal/sin sonido","rosado","0.0833333333333333",NA,"UCR-MPI_exp63_cam1_2020-1-19","UCR-MPI_exp63_cam3_2020-1-19","UCR-MPI_exp63_cam5_2020-1-19",NA,"2020","2020-56"
