"Día","Hora","Audio","Video","tipo de video","Grupo","Individuo","Experimento","Color","Tiempo de vuelo","Anotaciones","Video camara 1","Video camara 3","Video camara 5","Video camara respaldo","year","year.audio"
2020-01-15,0.503472222222222,"1","3","experimento","4","982126051278475","vuelo solo","no aplica",NA,"camaras con setup principal ACD, no tomamos tiempo total de vuelo, exp sin datos se elimino fila","UCR-MPI_exp3_cam1_2020-1-15","UCR-MPI_exp3_cam3_2020-1-15","UCR-MPI_exp3_cam5_2020-1-15",NA,"2020","2020-1"
2020-01-15,NA,"2","4","experimento","4","982126058484339","vuelo solo","no aplica","0.0833333333333333",NA,"UCR-MPI_exp4_cam1_2020-1-15","UCR-MPI_exp4_cam3_2020-1-15","UCR-MPI_exp4_cam5_2020-1-15",NA,"2020","2020-2"
2020-01-16,NA,"20","25","experimento","3","982000359237615","vuelo grupal/enmascarando busqueda","rosado","0.125",NA,"UCR-MPI_exp25_cam1_2020-1-16","UCR-MPI_exp25_cam3_2020-1-16","UCR-MPI_exp25_cam5_2020-1-16",NA,"2020","2020-20"
2020-01-16,NA,"20","25","experimento","3","982126051278504","vuelo grupal/enmascarando busqueda","blanco","0.125","no está volando","UCR-MPI_exp25_cam1_2020-1-16","UCR-MPI_exp25_cam3_2020-1-16","UCR-MPI_exp25_cam5_2020-1-16",NA,"2020","2020-20"
2020-01-16,NA,"20","25","experimento","3","982126051278529","vuelo grupal/enmascarando busqueda","verde","0.125",NA,"UCR-MPI_exp25_cam1_2020-1-16","UCR-MPI_exp25_cam3_2020-1-16","UCR-MPI_exp25_cam5_2020-1-16",NA,"2020","2020-20"
2020-01-16,NA,"20","25","experimento","3","982126051278564","vuelo grupal/enmascarando busqueda","naranja","0.125",NA,"UCR-MPI_exp25_cam1_2020-1-16","UCR-MPI_exp25_cam3_2020-1-16","UCR-MPI_exp25_cam5_2020-1-16",NA,"2020","2020-20"
2020-01-16,NA,"20","25","experimento","3","982126052945896","vuelo grupal/enmascarando busqueda","amarillo","0.125",NA,"UCR-MPI_exp25_cam1_2020-1-16","UCR-MPI_exp25_cam3_2020-1-16","UCR-MPI_exp25_cam5_2020-1-16",NA,"2020","2020-20"
2020-01-16,NA,"19","24","experimento","3","982000359237615","vuelo grupal/sin sonido","rosado","0.125","Video 24 camara 3: se movio la camara durante la grabacion, a partir de 1:10","UCR-MPI_exp24_cam1_2020-1-16","UCR-MPI_exp24_cam3_2020-1-16","UCR-MPI_exp24_cam5_2020-1-16",NA,"2020","2020-19"
2020-01-16,NA,"19","24","experimento","3","982126051278504","vuelo grupal/sin sonido","blanco","0.125",NA,"UCR-MPI_exp24_cam1_2020-1-16","UCR-MPI_exp24_cam3_2020-1-16","UCR-MPI_exp24_cam5_2020-1-16",NA,"2020","2020-19"
2020-01-16,NA,"19","24","experimento","3","982126051278529","vuelo grupal/sin sonido","verde","0.125",NA,"UCR-MPI_exp24_cam1_2020-1-16","UCR-MPI_exp24_cam3_2020-1-16","UCR-MPI_exp24_cam5_2020-1-16",NA,"2020","2020-19"
