Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	SNR	old.selec
299.430599644315	299.48531217851	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	299.430599644315	21	Spectrogram 1	1	8.32282564989161	284-6
299.963637477468	299.997199998445	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	299.963637477468	22	Spectrogram 1	1	7.74254982728154	284-7
303.798539874125	303.845639903562	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	303.798539874125	23	Spectrogram 1	1	19.0566579334629	285-1
309.537730961175	309.594768496824	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	309.537730961175	24	Spectrogram 1	1	13.6102691151771	285-2
314.059608787393	314.113208820893	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	314.059608787393	25	Spectrogram 1	1	19.3647816824519	285-3
326.288703930501	326.316278947736	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	326.288703930501	26	Spectrogram 1	1	5.491206265824	286-19
327.902767439307	327.949642468604	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	327.902767439307	27	Spectrogram 1	1	7.44182069681492	286-24
331.930132456449	331.981782488731	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	331.930132456449	28	Spectrogram 1	1	9.92886444374374	286-30
333.666271041553	333.716971073241	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	333.666271041553	29	Spectrogram 1	1	10.6959989539827	286-34
340.646350403975	340.684050427538	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	340.646350403975	30	Spectrogram 1	1	5.7190065947144	287-2
345.386328366508	345.436878398102	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	345.386328366508	31	Spectrogram 1	1	6.27477262361264	287-12
364.936503444813	364.96110346198	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	364.936503444813	32	Spectrogram 1	1	13.4390271801134	288-1
365.439428795767	365.460016310133	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	365.439428795767	33	Spectrogram 1	1	6.0817000427022	288-2
366.649442140144	366.685079665013	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	366.649442140144	34	Spectrogram 1	1	19.6834476613155	288-3
367.70276787518	367.746192905483	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	367.70276787518	35	Spectrogram 1	1	9.89403990401229	288-4
367.977318066768	368.01429309257	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	367.977318066768	36	Spectrogram 1	1	8.6848543912332	288-6
368.130893173937	368.155293190964	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	368.130893173937	37	Spectrogram 1	1	5.99949534725139	288-7
368.331193313711	368.357368331977	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	368.331193313711	38	Spectrogram 1	1	9.39680169208411	288-8
370.428844777504	370.453319794583	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	370.428844777504	39	Spectrogram 1	1	12.210903705014	288-9
374.628572708177	374.680572744464	ch1MPI2020-01-15_12-03-59_0000001.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-03-59_0000001.wav	374.628572708177	40	Spectrogram 1	1	7.88460445325322	288-11
378.52018787928	378.544037894186	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	0.606837879279601	41	Spectrogram 1	1	19.3535189646563	289-1
386.595655426526	386.624080444292	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	8.68230542652568	42	Spectrogram 1	1	20.6383980856669	289-2
398.545175394897	398.581100417351	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	20.631825394897	43	Spectrogram 1	1	11.2302072965135	290-1
400.51807662798	400.565076657355	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	22.6047266279796	44	Spectrogram 1	1	24.7836790014896	290-2
403.957491277647	403.999866304132	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	26.0441412776473	45	Spectrogram 1	1	19.1538115426192	290-3
405.380479667029	405.425704695295	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	27.467129667029	46	Spectrogram 1	1	15.4728481262642	290-4
407.156143276836	407.213218312509	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	29.2427932768361	47	Spectrogram 1	1	17.9018331756742	290-5
410.747995521779	410.797870552951	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	32.8346455217788	48	Spectrogram 1	1	18.3287785749639	290-6
412.45717159003	412.490484110851	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	34.5438215900305	49	Spectrogram 1	1	10.3425131996951	290-7
413.985660045351	414.042360080789	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	36.0723100453507	50	Spectrogram 1	1	24.2663973837656	290-8
416.553124150041	416.586774171072	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	38.6397741500409	51	Spectrogram 1	1	6.14637132252235	290-9
420.543064143597	420.600914179754	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	42.629714143597	52	Spectrogram 1	1	20.179411695623	291-1
424.414091563027	424.464829094738	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	46.500741563027	53	Spectrogram 1	1	18.5171282330984	291-2
426.02188006791	426.065405095114	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	48.1085300679105	54	Spectrogram 1	1	13.0473906649706	291-3
427.574931038582	427.628368571981	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	49.6615810385825	55	Spectrogram 1	1	17.1213704963514	291-4
430.952770649765	430.997583177773	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	53.0394206497652	56	Spectrogram 1	1	11.9674845643937	291-5
435.02589819551	435.070685723502	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	57.1125481955097	57	Spectrogram 1	1	15.3435415458562	291-6
438.700112991735	438.754300525602	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	60.7867629917346	58	Spectrogram 1	1	18.66024818571	292-1
441.377739665277	441.427852196598	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	63.4643896652774	59	Spectrogram 1	1	19.2259160425141	292-2
444.73077926096	444.770054285507	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	66.8174292609599	60	Spectrogram 1	1	5.20137039684223	292-3
448.276481477058	448.328269009426	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	70.3631314770584	61	Spectrogram 1	1	18.213410205854	292-4
453.794534925896	453.848959959912	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	75.8811849258957	62	Spectrogram 1	1	20.0820505888525	292-5
456.509661622876	456.567511659033	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	78.5963116228764	63	Spectrogram 1	1	13.4313053591986	292-6
458.368487784466	458.417300314974	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	80.4551377844656	64	Spectrogram 1	1	13.2574576274604	293-1
460.073063849842	460.113351375022	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	82.1597138498422	65	Spectrogram 1	1	19.3931790004372	293-2
470.159657654062	470.205020182414	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	92.2463076540619	66	Spectrogram 1	1	22.1029194257676	293-4
474.15727265261	474.20676018354	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	96.2439226526103	67	Spectrogram 1	1	23.3698261085476	293-5
477.035286951397	477.078424478359	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	99.1219369513973	68	Spectrogram 1	1	15.2307514620419	293-6
479.115625751434	479.165188282411	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	101.202275751434	69	Spectrogram 1	1	30.4227144359479	294-1
483.244015831718	483.288615859594	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	105.330665831718	70	Spectrogram 1	1	16.1431555247208	294-2
497.658474840896	497.700987367467	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	119.745124840896	71	Spectrogram 1	1	12.3206991624414	294-4
500.092064777859	500.128289815732	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	122.178714777859	72	Spectrogram 1	1	8.50476363811838	295-1
501.388928633737	501.434128680994	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	123.475578633737	73	Spectrogram 1	1	31.4637152489552	295-2
506.456208931607	506.510658988535	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	128.542858931607	74	Spectrogram 1	1	29.204422332932	295-3
508.393735957303	508.414048478539	ch1MPI2020-01-15_12-18-06_0000002.wav	/home/m/Documentos/Github_projects/flight_coordination_thyroptera/data/raw/resample_80kHz/ch1MPI2020-01-15_12-18-06_0000002.wav	130.480385957303	75	Spectrogram 1	1	5.73658951131801	295-4
