Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	score	class_fixed	class	org.sound.files
45943	Spectrogram 1	1	20.018730000	20.069730000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	20.0187	13354.800	42822.600	0.4997715	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
45858	Spectrogram 1	1	25.276750000	25.327750000	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	25.2768	13354.800	42822.600	0.6407341	call	call	ch1MPI2020-01-18_10-18-02_0000037.wav
49085	Spectrogram 1	1	25.283137119	25.341314234	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	25.2831	15370.308	32315.766				
49086	Spectrogram 1	1	26.068528174	26.119433150	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	26.0685	16123.439	33633.746				
49087	Spectrogram 1	1	27.628402076	27.672034912	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	27.6284	19135.965	34763.444				
49089	Spectrogram 1	1	31.875331486	31.918964322	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	31.8753	16688.288	25161.017				
49090	Spectrogram 1	1	32.317842725	32.364122337	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	32.3178	16876.571	25725.866				
49088	Spectrogram 1	1	32.329840198	32.384381244	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	32.3298	16500.005	25161.017				
49091	Spectrogram 1	1	32.821776275	32.850058260	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	32.8218	17253.137	25537.583				
49092	Spectrogram 1	1	38.225154274	38.263720618	ch1MPI2020-01-18_10-18-02_0000037.wav	/home/m/Dropbox/Recordings/flight_coordination_Thyroptera/converted_sound_files_90_kHz/ch1MPI2020-01-18_10-18-02_0000037.wav	38.2252	16123.439	26102.432				
