"Video camara respaldo","Video camara 5","Video camara 3","Video camara 1","Día","Hora","Audio","Video","tipo de video","Grupo","Individuo","Experimento","Color","Tiempo de vuelo aprox","Anotaciones","Archivo de audio canal 1","Archivo de audio canal 2","Archivo de audio canal 3","Archivo de audio canal 4","Nuevo video camara 1","Nuevo video camara 3","Nuevo video camara 5","Nuevo video camara respaldo"
"UCR-MPI_cal173_cam-backup_2020-1-26","UCR-MPI_cal173_cam5_2020-1-26","UCR-MPI_cal173_cam3_2020-1-26","UCR-MPI_cal173_cam1_2020-1-26",2020-01-26,1899-12-31 09:40:00,NA,"173","calibracion de video",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0173-cam1_cal_2020-1-26_UCR-MPI","0173-cam3_cal_2020-1-26_UCR-MPI","0173-cam5_cal_2020-1-26_UCR-MPI","0173-cam-backup_cal_2020-1-26_UCR-MPI"
"UCR-MPI_cal176_cam-backup_2020-1-26","UCR-MPI_cal176_cam5_2020-1-26","UCR-MPI_cal176_cam3_2020-1-26","UCR-MPI_cal176_cam1_2020-1-26",2020-01-26,NA,NA,"176","calibracion de video",NA,NA,NA,NA,1899-12-31 02:00:00,"replica, back up camara 4",NA,NA,NA,NA,"0176-cam1_cal_2020-1-26_UCR-MPI","0176-cam3_cal_2020-1-26_UCR-MPI","0176-cam5_cal_2020-1-26_UCR-MPI","0176-cam-backup_cal_2020-1-26_UCR-MPI"
"UCR-MPI_cal84_cam-backup_2020-1-22","UCR-MPI_cal84_cam5_2020-1-22","UCR-MPI_cal84_cam3_2020-1-22","UCR-MPI_cal84_cam1_2020-1-22",2020-01-22,1899-12-31 10:30:00,NA,"84","calibracion de video",NA,NA,NA,NA,1899-12-31 02:00:00,"se uso cam 6 de backup",NA,NA,NA,NA,"0084-cam1_cal_2020-1-22_UCR-MPI","0084-cam3_cal_2020-1-22_UCR-MPI","0084-cam5_cal_2020-1-22_UCR-MPI","0084-cam-backup_cal_2020-1-22_UCR-MPI"
"UCR-MPI_cal89_cam-backup_2020-1-22","UCR-MPI_cal89_cam5_2020-1-22","UCR-MPI_cal89_cam3_2020-1-22","UCR-MPI_cal89_cam1_2020-1-22",2020-01-22,1899-12-31 11:29:00,NA,"89","calibracion de video",NA,NA,NA,NA,NA,"se uso cam 6 de backup, se calibró de nuevo por que se cambio la bateria de la camara 1",NA,NA,NA,NA,"0089-cam1_cal_2020-1-22_UCR-MPI","0089-cam3_cal_2020-1-22_UCR-MPI","0089-cam5_cal_2020-1-22_UCR-MPI","0089-cam-backup_cal_2020-1-22_UCR-MPI"
"UCR-MPI_cal98_cam-backup_2020-1-23","UCR-MPI_cal98_cam5_2020-1-23","UCR-MPI_cal98_cam3_2020-1-23","UCR-MPI_cal98_cam1_2020-1-23",2020-01-23,NA,NA,"98","calibracion de video",NA,NA,NA,NA,NA,"backup es camara 4 (no camara 6)",NA,NA,NA,NA,"0098-cam1_cal_2020-1-23_UCR-MPI","0098-cam3_cal_2020-1-23_UCR-MPI","0098-cam5_cal_2020-1-23_UCR-MPI","0098-cam-backup_cal_2020-1-23_UCR-MPI"
"UCR-MPI_exp100_cam-backup_2020-1-23","UCR-MPI_exp100_cam5_2020-1-23","UCR-MPI_exp100_cam3_2020-1-23","UCR-MPI_exp100_cam1_2020-1-23",2020-01-23,1899-12-31 09:45:00,99,"100","experimento","15","900200000206710","vuelo grupal/enmascarando busqueda","rosado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp100_ch1_2020-1-23.wav","UCR-MPI_exp100_ch2_2020-1-23.wav","UCR-MPI_exp100_ch3_2020-1-23.wav","UCR-MPI_exp100_ch4_2020-1-23.wav","0100-cam1_exp_2020-1-23_UCR-MPI","0100-cam3_exp_2020-1-23_UCR-MPI","0100-cam5_exp_2020-1-23_UCR-MPI","0100-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp100_cam-backup_2020-1-23","UCR-MPI_exp100_cam5_2020-1-23","UCR-MPI_exp100_cam3_2020-1-23","UCR-MPI_exp100_cam1_2020-1-23",2020-01-23,1899-12-31 09:45:00,99,"100","experimento","15","900200000206443","vuelo grupal/enmascarando busqueda","verde",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp100_ch1_2020-1-23.wav","UCR-MPI_exp100_ch2_2020-1-23.wav","UCR-MPI_exp100_ch3_2020-1-23.wav","UCR-MPI_exp100_ch4_2020-1-23.wav","0100-cam1_exp_2020-1-23_UCR-MPI","0100-cam3_exp_2020-1-23_UCR-MPI","0100-cam5_exp_2020-1-23_UCR-MPI","0100-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp100_cam-backup_2020-1-23","UCR-MPI_exp100_cam5_2020-1-23","UCR-MPI_exp100_cam3_2020-1-23","UCR-MPI_exp100_cam1_2020-1-23",2020-01-23,1899-12-31 09:45:00,99,"100","experimento","15","982126058484259","vuelo grupal/enmascarando busqueda","anaranjado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp100_ch1_2020-1-23.wav","UCR-MPI_exp100_ch2_2020-1-23.wav","UCR-MPI_exp100_ch3_2020-1-23.wav","UCR-MPI_exp100_ch4_2020-1-23.wav","0100-cam1_exp_2020-1-23_UCR-MPI","0100-cam3_exp_2020-1-23_UCR-MPI","0100-cam5_exp_2020-1-23_UCR-MPI","0100-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp101_cam-backup_2020-1-23","UCR-MPI_exp101_cam5_2020-1-23","UCR-MPI_exp101_cam3_2020-1-23","UCR-MPI_exp101_cam1_2020-1-23",2020-01-23,1899-12-31 09:50:00,100,"101","experimento","11/4/NN","900200000279817","vuelo solo","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp101_ch1_2020-1-23.wav","UCR-MPI_exp101_ch2_2020-1-23.wav","UCR-MPI_exp101_ch3_2020-1-23.wav","UCR-MPI_exp101_ch4_2020-1-23.wav","0101-cam1_exp_2020-1-23_UCR-MPI","0101-cam3_exp_2020-1-23_UCR-MPI","0101-cam5_exp_2020-1-23_UCR-MPI","0101-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp102_cam-backup_2020-1-23","UCR-MPI_exp102_cam5_2020-1-23","UCR-MPI_exp102_cam3_2020-1-23","UCR-MPI_exp102_cam1_2020-1-23",2020-01-23,1899-12-31 09:57:00,101,"102","experimento","11/4/NN","900200000279533","vuelo solo","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp102_ch1_2020-1-23.wav","UCR-MPI_exp102_ch2_2020-1-23.wav","UCR-MPI_exp102_ch3_2020-1-23.wav","UCR-MPI_exp102_ch4_2020-1-23.wav","0102-cam1_exp_2020-1-23_UCR-MPI","0102-cam3_exp_2020-1-23_UCR-MPI","0102-cam5_exp_2020-1-23_UCR-MPI","0102-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp103_cam-backup_2020-1-23","UCR-MPI_exp103_cam5_2020-1-23","UCR-MPI_exp103_cam3_2020-1-23","UCR-MPI_exp103_cam1_2020-1-23",2020-01-23,1899-12-31 10:05:00,102,"103","experimento","11/4/NN","982126058484272","vuelo solo","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp103_ch1_2020-1-23.wav","UCR-MPI_exp103_ch2_2020-1-23.wav","UCR-MPI_exp103_ch3_2020-1-23.wav","UCR-MPI_exp103_ch4_2020-1-23.wav","0103-cam1_exp_2020-1-23_UCR-MPI","0103-cam3_exp_2020-1-23_UCR-MPI","0103-cam5_exp_2020-1-23_UCR-MPI","0103-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp104_cam-backup_2020-1-23","UCR-MPI_exp104_cam5_2020-1-23","UCR-MPI_exp104_cam3_2020-1-23","UCR-MPI_exp104_cam1_2020-1-23",2020-01-23,1899-12-31 10:11:00,103,"104","experimento","11/4/NN","982126058484337","vuelo solo","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp104_ch1_2020-1-23.wav","UCR-MPI_exp104_ch2_2020-1-23.wav","UCR-MPI_exp104_ch3_2020-1-23.wav","UCR-MPI_exp104_ch4_2020-1-23.wav","0104-cam1_exp_2020-1-23_UCR-MPI","0104-cam3_exp_2020-1-23_UCR-MPI","0104-cam5_exp_2020-1-23_UCR-MPI","0104-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp105_cam-backup_2020-1-23","UCR-MPI_exp105_cam5_2020-1-23","UCR-MPI_exp105_cam3_2020-1-23","UCR-MPI_exp105_cam1_2020-1-23",2020-01-23,1899-12-31 10:17:00,104,"105","experimento","11/4/NN","982126058484295","vuelo solo","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp105_ch1_2020-1-23.wav","UCR-MPI_exp105_ch2_2020-1-23.wav","UCR-MPI_exp105_ch3_2020-1-23.wav","UCR-MPI_exp105_ch4_2020-1-23.wav","0105-cam1_exp_2020-1-23_UCR-MPI","0105-cam3_exp_2020-1-23_UCR-MPI","0105-cam5_exp_2020-1-23_UCR-MPI","0105-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp106_cam-backup_2020-1-23","UCR-MPI_exp106_cam5_2020-1-23","UCR-MPI_exp106_cam3_2020-1-23","UCR-MPI_exp106_cam1_2020-1-23",2020-01-23,1899-12-31 10:23:00,105,"106","experimento","6/?","900200000279790","vuelo solo","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp106_ch1_2020-1-23.wav","UCR-MPI_exp106_ch2_2020-1-23.wav","UCR-MPI_exp106_ch3_2020-1-23.wav","UCR-MPI_exp106_ch4_2020-1-23.wav","0106-cam1_exp_2020-1-23_UCR-MPI","0106-cam3_exp_2020-1-23_UCR-MPI","0106-cam5_exp_2020-1-23_UCR-MPI","0106-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp107_cam-backup_2020-1-23","UCR-MPI_exp107_cam5_2020-1-23","UCR-MPI_exp107_cam3_2020-1-23","UCR-MPI_exp107_cam1_2020-1-23",2020-01-23,1899-12-31 10:30:00,106,"107","experimento","6/?","982126058484291","vuelo solo","no aplica",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp107_ch1_2020-1-23.wav","UCR-MPI_exp107_ch2_2020-1-23.wav","UCR-MPI_exp107_ch3_2020-1-23.wav","UCR-MPI_exp107_ch4_2020-1-23.wav","0107-cam1_exp_2020-1-23_UCR-MPI","0107-cam3_exp_2020-1-23_UCR-MPI","0107-cam5_exp_2020-1-23_UCR-MPI","0107-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp108_cam-backup_2020-1-23","UCR-MPI_exp108_cam5_2020-1-23","UCR-MPI_exp108_cam3_2020-1-23","UCR-MPI_exp108_cam1_2020-1-23",2020-01-23,1899-12-31 10:53:00,107,"108","experimento","4/11/N/N/N","900200000279533","vuelo grupal/sin sonido","rosado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp108_ch1_2020-1-23.wav","UCR-MPI_exp108_ch2_2020-1-23.wav","UCR-MPI_exp108_ch3_2020-1-23.wav","UCR-MPI_exp108_ch4_2020-1-23.wav","0108-cam1_exp_2020-1-23_UCR-MPI","0108-cam3_exp_2020-1-23_UCR-MPI","0108-cam5_exp_2020-1-23_UCR-MPI","0108-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp108_cam-backup_2020-1-23","UCR-MPI_exp108_cam5_2020-1-23","UCR-MPI_exp108_cam3_2020-1-23","UCR-MPI_exp108_cam1_2020-1-23",2020-01-23,1899-12-31 10:53:00,107,"108","experimento","4/11/N/N/N","900200000279817","vuelo grupal/sin sonido","verde",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp108_ch1_2020-1-23.wav","UCR-MPI_exp108_ch2_2020-1-23.wav","UCR-MPI_exp108_ch3_2020-1-23.wav","UCR-MPI_exp108_ch4_2020-1-23.wav","0108-cam1_exp_2020-1-23_UCR-MPI","0108-cam3_exp_2020-1-23_UCR-MPI","0108-cam5_exp_2020-1-23_UCR-MPI","0108-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp108_cam-backup_2020-1-23","UCR-MPI_exp108_cam5_2020-1-23","UCR-MPI_exp108_cam3_2020-1-23","UCR-MPI_exp108_cam1_2020-1-23",2020-01-23,1899-12-31 10:53:00,107,"108","experimento","4/11/N/N/N","982126058484295","vuelo grupal/sin sonido","sin pintar",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp108_ch1_2020-1-23.wav","UCR-MPI_exp108_ch2_2020-1-23.wav","UCR-MPI_exp108_ch3_2020-1-23.wav","UCR-MPI_exp108_ch4_2020-1-23.wav","0108-cam1_exp_2020-1-23_UCR-MPI","0108-cam3_exp_2020-1-23_UCR-MPI","0108-cam5_exp_2020-1-23_UCR-MPI","0108-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp108_cam-backup_2020-1-23","UCR-MPI_exp108_cam5_2020-1-23","UCR-MPI_exp108_cam3_2020-1-23","UCR-MPI_exp108_cam1_2020-1-23",2020-01-23,1899-12-31 10:53:00,107,"108","experimento","4/11/N/N/N","982126058484272","vuelo grupal/sin sonido","amarillo",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp108_ch1_2020-1-23.wav","UCR-MPI_exp108_ch2_2020-1-23.wav","UCR-MPI_exp108_ch3_2020-1-23.wav","UCR-MPI_exp108_ch4_2020-1-23.wav","0108-cam1_exp_2020-1-23_UCR-MPI","0108-cam3_exp_2020-1-23_UCR-MPI","0108-cam5_exp_2020-1-23_UCR-MPI","0108-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp108_cam-backup_2020-1-23","UCR-MPI_exp108_cam5_2020-1-23","UCR-MPI_exp108_cam3_2020-1-23","UCR-MPI_exp108_cam1_2020-1-23",2020-01-23,1899-12-31 10:53:00,107,"108","experimento","4/11/N/N/N","982126058484337","vuelo grupal/sin sonido","anaranjado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp108_ch1_2020-1-23.wav","UCR-MPI_exp108_ch2_2020-1-23.wav","UCR-MPI_exp108_ch3_2020-1-23.wav","UCR-MPI_exp108_ch4_2020-1-23.wav","0108-cam1_exp_2020-1-23_UCR-MPI","0108-cam3_exp_2020-1-23_UCR-MPI","0108-cam5_exp_2020-1-23_UCR-MPI","0108-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp109_cam-backup_2020-1-23","UCR-MPI_exp109_cam5_2020-1-23","UCR-MPI_exp109_cam3_2020-1-23","UCR-MPI_exp109_cam1_2020-1-23",2020-01-23,1899-12-31 11:02:00,108,"109","experimento","4/11/N/N/N","900200000279817","vuelo grupal/enmascarando busqueda","verde",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp109_ch1_2020-1-23.wav","UCR-MPI_exp109_ch2_2020-1-23.wav","UCR-MPI_exp109_ch3_2020-1-23.wav","UCR-MPI_exp109_ch4_2020-1-23.wav","0109-cam1_exp_2020-1-23_UCR-MPI","0109-cam3_exp_2020-1-23_UCR-MPI","0109-cam5_exp_2020-1-23_UCR-MPI","0109-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp109_cam-backup_2020-1-23","UCR-MPI_exp109_cam5_2020-1-23","UCR-MPI_exp109_cam3_2020-1-23","UCR-MPI_exp109_cam1_2020-1-23",2020-01-23,1899-12-31 11:02:00,108,"109","experimento","4/11/N/N/N","900200000279533","vuelo grupal/enmascarando busqueda","rosado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp109_ch1_2020-1-23.wav","UCR-MPI_exp109_ch2_2020-1-23.wav","UCR-MPI_exp109_ch3_2020-1-23.wav","UCR-MPI_exp109_ch4_2020-1-23.wav","0109-cam1_exp_2020-1-23_UCR-MPI","0109-cam3_exp_2020-1-23_UCR-MPI","0109-cam5_exp_2020-1-23_UCR-MPI","0109-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp109_cam-backup_2020-1-23","UCR-MPI_exp109_cam5_2020-1-23","UCR-MPI_exp109_cam3_2020-1-23","UCR-MPI_exp109_cam1_2020-1-23",2020-01-23,1899-12-31 11:02:00,108,"109","experimento","4/11/N/N/N","982126058484295","vuelo grupal/enmascarando busqueda","sin pintar",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp109_ch1_2020-1-23.wav","UCR-MPI_exp109_ch2_2020-1-23.wav","UCR-MPI_exp109_ch3_2020-1-23.wav","UCR-MPI_exp109_ch4_2020-1-23.wav","0109-cam1_exp_2020-1-23_UCR-MPI","0109-cam3_exp_2020-1-23_UCR-MPI","0109-cam5_exp_2020-1-23_UCR-MPI","0109-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp109_cam-backup_2020-1-23","UCR-MPI_exp109_cam5_2020-1-23","UCR-MPI_exp109_cam3_2020-1-23","UCR-MPI_exp109_cam1_2020-1-23",2020-01-23,1899-12-31 11:02:00,108,"109","experimento","4/11/N/N/N","982126058484272","vuelo grupal/enmascarando busqueda","amarillo",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp109_ch1_2020-1-23.wav","UCR-MPI_exp109_ch2_2020-1-23.wav","UCR-MPI_exp109_ch3_2020-1-23.wav","UCR-MPI_exp109_ch4_2020-1-23.wav","0109-cam1_exp_2020-1-23_UCR-MPI","0109-cam3_exp_2020-1-23_UCR-MPI","0109-cam5_exp_2020-1-23_UCR-MPI","0109-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp109_cam-backup_2020-1-23","UCR-MPI_exp109_cam5_2020-1-23","UCR-MPI_exp109_cam3_2020-1-23","UCR-MPI_exp109_cam1_2020-1-23",2020-01-23,1899-12-31 11:02:00,108,"109","experimento","4/11/N/N/N","982126058484337","vuelo grupal/enmascarando busqueda","anaranjado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp109_ch1_2020-1-23.wav","UCR-MPI_exp109_ch2_2020-1-23.wav","UCR-MPI_exp109_ch3_2020-1-23.wav","UCR-MPI_exp109_ch4_2020-1-23.wav","0109-cam1_exp_2020-1-23_UCR-MPI","0109-cam3_exp_2020-1-23_UCR-MPI","0109-cam5_exp_2020-1-23_UCR-MPI","0109-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp110_cam-backup_2020-1-23","UCR-MPI_exp110_cam5_2020-1-23","UCR-MPI_exp110_cam3_2020-1-23","UCR-MPI_exp110_cam1_2020-1-23",2020-01-23,1899-12-31 11:24:00,109,"110","experimento","6/?","982126058484291","vuelo grupal/enmascarando busqueda","verde",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp110_ch1_2020-1-23.wav","UCR-MPI_exp110_ch2_2020-1-23.wav","UCR-MPI_exp110_ch3_2020-1-23.wav","UCR-MPI_exp110_ch4_2020-1-23.wav","0110-cam1_exp_2020-1-23_UCR-MPI","0110-cam3_exp_2020-1-23_UCR-MPI","0110-cam5_exp_2020-1-23_UCR-MPI","0110-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp110_cam-backup_2020-1-23","UCR-MPI_exp110_cam5_2020-1-23","UCR-MPI_exp110_cam3_2020-1-23","UCR-MPI_exp110_cam1_2020-1-23",2020-01-23,1899-12-31 11:24:00,109,"110","experimento","6/?","900200000279790","vuelo grupal/enmascarando busqueda","rosado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp110_ch1_2020-1-23.wav","UCR-MPI_exp110_ch2_2020-1-23.wav","UCR-MPI_exp110_ch3_2020-1-23.wav","UCR-MPI_exp110_ch4_2020-1-23.wav","0110-cam1_exp_2020-1-23_UCR-MPI","0110-cam3_exp_2020-1-23_UCR-MPI","0110-cam5_exp_2020-1-23_UCR-MPI","0110-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp111_cam-backup_2020-1-23","UCR-MPI_exp111_cam5_2020-1-23","UCR-MPI_exp111_cam3_2020-1-23","UCR-MPI_exp111_cam1_2020-1-23",2020-01-23,1899-12-31 11:24:00,110,"111","experimento","6/?","982126058484291","vuelo grupal/sin sonido","verde",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp111_ch1_2020-1-23.wav","UCR-MPI_exp111_ch2_2020-1-23.wav","UCR-MPI_exp111_ch3_2020-1-23.wav","UCR-MPI_exp111_ch4_2020-1-23.wav","0111-cam1_exp_2020-1-23_UCR-MPI","0111-cam3_exp_2020-1-23_UCR-MPI","0111-cam5_exp_2020-1-23_UCR-MPI","0111-cam-backup_exp_2020-1-23_UCR-MPI"
"UCR-MPI_exp111_cam-backup_2020-1-23","UCR-MPI_exp111_cam5_2020-1-23","UCR-MPI_exp111_cam3_2020-1-23","UCR-MPI_exp111_cam1_2020-1-23",2020-01-23,1899-12-31 11:24:00,110,"111","experimento","6/?","900200000279790","vuelo grupal/sin sonido","rosado",1899-12-31 02:00:00,"backup es camara 4 (no camara 6)","UCR-MPI_exp111_ch1_2020-1-23.wav","UCR-MPI_exp111_ch2_2020-1-23.wav","UCR-MPI_exp111_ch3_2020-1-23.wav","UCR-MPI_exp111_ch4_2020-1-23.wav","0111-cam1_exp_2020-1-23_UCR-MPI","0111-cam3_exp_2020-1-23_UCR-MPI","0111-cam5_exp_2020-1-23_UCR-MPI","0111-cam-backup_exp_2020-1-23_UCR-MPI"
