"Video camara respaldo","Video camara 5","Video camara 3","Video camara 1","Día","Hora","Audio","Video","tipo de video","Grupo","Individuo","Experimento","Color","Tiempo de vuelo aprox","Anotaciones","Archivo de audio canal 1","Archivo de audio canal 2","Archivo de audio canal 3","Archivo de audio canal 4","Nuevo video camara 1","Nuevo video camara 3","Nuevo video camara 5","Nuevo video camara respaldo"
"UCR-MPI_cal115_cam-backup_2020-1-24","UCR-MPI_cal115_cam5_2020-1-24","UCR-MPI_cal115_cam3_2020-1-24","UCR-MPI_cal115_cam1_2020-1-24",2020-01-24,NA,NA,"115","calibracion de video",NA,NA,NA,NA,NA,"backup es camara 4 (no camara 6)",NA,NA,NA,NA,"0115-cam1_cal_2020-1-24_UCR-MPI","0115-cam3_cal_2020-1-24_UCR-MPI","0115-cam5_cal_2020-1-24_UCR-MPI","0115-cam-backup_cal_2020-1-24_UCR-MPI"
"UCR-MPI_cal121_cam-backup_2020-1-24","UCR-MPI_cal121_cam5_2020-1-24","UCR-MPI_cal121_cam3_2020-1-24","UCR-MPI_cal121_cam1_2020-1-24",2020-01-24,1899-12-31 10:16:00,NA,"121","calibracion de video",NA,NA,NA,NA,NA,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 6",NA,NA,NA,NA,"0121-cam1_cal_2020-1-24_UCR-MPI","0121-cam3_cal_2020-1-24_UCR-MPI","0121-cam5_cal_2020-1-24_UCR-MPI","0121-cam-backup_cal_2020-1-24_UCR-MPI"
"UCR-MPI_cal132_cam-backup_2020-1-24","UCR-MPI_cal132_cam5_2020-1-24","UCR-MPI_cal132_cam3_2020-1-24","UCR-MPI_cal132_cam1_2020-1-24",2020-01-24,1899-12-31 12:04:00,NA,"132","calibracion de video",NA,NA,NA,NA,NA,"backup es camara 4 (no camara 6), camara 5 uso la tarjeta 5 de nuevo",NA,NA,NA,NA,"0132-cam1_cal_2020-1-24_UCR-MPI","0132-cam3_cal_2020-1-24_UCR-MPI","0132-cam5_cal_2020-1-24_UCR-MPI","0132-cam-backup_cal_2020-1-24_UCR-MPI"
"UCR-MPI_cal138_cam-backup_2020-1-24","UCR-MPI_cal138_cam5_2020-1-24","UCR-MPI_cal138_cam3_2020-1-24","UCR-MPI_cal138_cam1_2020-1-24",2020-01-24,1899-12-31 02:22:00,NA,"138","calibracion de video",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0138-cam1_cal_2020-1-24_UCR-MPI","0138-cam3_cal_2020-1-24_UCR-MPI","0138-cam5_cal_2020-1-24_UCR-MPI","0138-cam-backup_cal_2020-1-24_UCR-MPI"
"UCR-MPI_cal145_cam-backup_2020-1-24","UCR-MPI_cal145_cam5_2020-1-24","UCR-MPI_cal145_cam3_2020-1-24",NA,2020-01-24,1899-12-31 04:05:00,NA,"145","calibracion de video",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0145-cam3_cal_2020-1-24_UCR-MPI","0145-cam5_cal_2020-1-24_UCR-MPI","0145-cam-backup_cal_2020-1-24_UCR-MPI"
"UCR-MPI_cal150_cam-backup_2020-1-25","UCR-MPI_cal150_cam5_2020-1-25","UCR-MPI_cal150_cam3_2020-1-25","UCR-MPI_cal150_cam1_2020-1-25",2020-01-25,NA,NA,"150","calibracion de video",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0150-cam1_cal_2020-1-25_UCR-MPI","0150-cam3_cal_2020-1-25_UCR-MPI","0150-cam5_cal_2020-1-25_UCR-MPI","0150-cam-backup_cal_2020-1-25_UCR-MPI"
"UCR-MPI_cal154_cam-backup_2020-1-25","UCR-MPI_cal154_cam5_2020-1-25","UCR-MPI_cal154_cam3_2020-1-25","UCR-MPI_cal154_cam1_2020-1-25",2020-01-25,1899-12-31 10:56:00,NA,"154","calibracion de video",NA,NA,NA,NA,NA,"calibracion para video anterior que camara 3 se pudo haber movido",NA,NA,NA,NA,"0154-cam1_cal_2020-1-25_UCR-MPI","0154-cam3_cal_2020-1-25_UCR-MPI","0154-cam5_cal_2020-1-25_UCR-MPI","0154-cam-backup_cal_2020-1-25_UCR-MPI"
"UCR-MPI_cal155_cam-backup_2020-1-25","UCR-MPI_cal155_cam5_2020-1-25","UCR-MPI_cal155_cam3_2020-1-25","UCR-MPI_cal155_cam1_2020-1-25",2020-01-25,1899-12-31 11:03:00,NA,"155","calibracion de video",NA,NA,NA,NA,NA,"se movio camara 5 para ampliar campo de vision, se hizo nueva calibraciòn",NA,NA,NA,NA,"0155-cam1_cal_2020-1-25_UCR-MPI","0155-cam3_cal_2020-1-25_UCR-MPI","0155-cam5_cal_2020-1-25_UCR-MPI","0155-cam-backup_cal_2020-1-25_UCR-MPI"
"UCR-MPI_cal163_cam-backup_2020-1-25","UCR-MPI_cal163_cam5_2020-1-25","UCR-MPI_cal163_cam3_2020-1-25","UCR-MPI_cal163_cam1_2020-1-25",2020-01-25,NA,NA,"163","calibracion de video",NA,NA,NA,"no aplica",1899-12-31 02:00:00,"replica, se movio camara al final",NA,NA,NA,NA,"0163-cam1_cal_2020-1-25_UCR-MPI","0163-cam3_cal_2020-1-25_UCR-MPI","0163-cam5_cal_2020-1-25_UCR-MPI","0163-cam-backup_cal_2020-1-25_UCR-MPI"
"UCR-MPI_cal170_cam-backup_2020-1-26","UCR-MPI_cal170_cam5_2020-1-26","UCR-MPI_cal170_cam3_2020-1-26","UCR-MPI_cal170_cam1_2020-1-26",2020-01-26,1899-12-31 09:10:00,NA,"170","calibracion de video",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0170-cam1_cal_2020-1-26_UCR-MPI","0170-cam3_cal_2020-1-26_UCR-MPI","0170-cam5_cal_2020-1-26_UCR-MPI","0170-cam-backup_cal_2020-1-26_UCR-MPI"
